task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,2,5,0.8913,-2.4839,5,0.7077,0.5365,0.001,0.6086,0.7505,0.2145,0.4154
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,3,9,0.7292,-0.6268,9,0.5824,0.3608,0.09245,0.6167,0.7681,0.0523,0.457
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,4,10,0.9703,-2.5607,10,0.8259,0.6731,0.0005,0.6124,0.7598,0.1683,0.4432
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,5,6,0.817,-0.0695,6,0.8162,0.5788,0.01799,0.6131,0.7618,0.1237,0.4997
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,6,1,0.7971,-0.6742,1,0.6113,0.428,0.01099,0.6002,0.7349,0.4717,0.4777
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,0,1,0.9511,1.5253,8,0.1762,0.6251,0.0005,0.6147,0.7651,0.868,0.4353
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,1,1,0.6254,2.7169,1,0.5674,0.2691,0.3988,0.6159,0.7639,0.0785,0.5162
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,2,4,0.8072,0.7301,4,0.5843,0.4584,0.02199,0.6148,0.7619,0.1536,0.427
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,3,5,0.9152,0.585,5,0.7647,0.5724,0.0005,0.6015,0.7291,0.1967,0.4917
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,4,2,0.8435,-2.9764,2,0.8333,0.5125,0.006,0.6102,0.7516,0.1345,0.4951
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,5,12,0.9675,3.1416,12,0.9675,0.5855,0.0005,0.6063,0.7422,0.1462,0.4596
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1526380370,False,0.8627,6,2,0.9332,-1.4653,7,0.2228,0.5714,0.001,0.6105,0.7591,0.3594,0.4862
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,0,9,0.8103,1.8139,11,0.3806,0.4666,0.008,0.6027,0.742,0.3196,0.4872
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,1,8,0.5113,-2.4027,4,0.4273,0.1809,0.90205,0.5971,0.725,0.514,0.4328
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,2,5,0.5969,-1.3289,8,0.3519,0.2428,0.54023,0.6153,0.7681,0.0385,0.4653
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,3,6,0.566,0.9826,6,0.4079,0.2248,0.66517,0.6053,0.7405,0.0894,0.4523
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,4,7,0.561,-2.6707,7,0.4994,0.2217,0.66217,0.5963,0.7287,0.2492,0.471
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,5,10,0.4935,-2.1147,6,0.444,0.1765,0.95552,0.6012,0.736,0.2121,0.4321
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1526380370,False,0.6471,6,5,0.6139,1.2307,1,0.3959,0.2599,0.43978,0.6083,0.7453,0.2146,0.4992
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,0,3,0.8408,-2.9105,3,0.8179,0.495,0.009,0.6125,0.7565,0.0489,0.4757
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,1,1,0.9251,1.3004,1,0.2949,0.5818,0.0015,0.612,0.7624,0.795,0.457
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,2,9,0.6915,0.1432,9,0.6846,0.323,0.16792,0.6111,0.7531,0.0892,0.4595
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,3,7,0.9796,2.6891,7,0.8819,0.6325,0.0005,0.6091,0.7455,0.1346,0.4834
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,4,10,0.7453,2.0338,10,0.3498,0.3671,0.07496,0.6124,0.7673,0.2288,0.485
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,5,8,0.5684,2.0373,7,0.5154,0.2268,0.64768,0.6041,0.7407,0.2247,0.5309
